Level: State
Unit:Per Capita (dollars), Real (2020$)
State,Year,(R63) Liquor Stores Revenue (A90),(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E036) Educational Assistance (E19),(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E106) Liquor Store and Utility Expend,(E107) Liquor Stores-Tot Exp,(E108) Liquor Stores-Cur Oper (E90),(E109) Liquor Stores-Cap Out
Nevada,2000.0,$              0,$            530,$            490,$             16,$             43,$             37,$              6,$            589,$            568,$             18,$             34,$              0,$              0,$              0
Nevada,2001.0,$              0,$            610,$            520,$             21,$             43,$             38,$              5,$            568,$            545,$             21,$            118,$              0,$              0,$              0
Nevada,2002.0,$              0,$            598,$            506,$             27,$             42,$             39,$              3,$            664,$            632,$             31,$            112,$              0,$              0,$              0
Nevada,2003.0,$              0,$            588,$            510,$             29,$             37,$             35,$              2,$            725,$            691,$             33,$             94,$              0,$              0,$              0
Nevada,2004.0,$              0,$            642,$            522,$             32,$             36,$             35,$              2,$            736,$            703,$             31,$             85,$              0,$              0,$              0
Nevada,2005.0,$              0,$            650,$            536,$             47,$             49,$             46,$              4,$            761,$            730,$             29,$             60,$              0,$              0,$              0
Nevada,2006.0,$              0,$            672,$            539,$             49,$             48,$             44,$              4,$            732,$            703,$             27,$             64,$              0,$              0,$              0
Nevada,2007.0,$              0,$            742,$            551,$             51,$             44,$             42,$              3,$            745,$            719,$             25,$             37,$              0,$              0,$              0
Nevada,2008.0,$              0,$            722,$            555,$             53,$             46,$             40,$              6,$            676,$            650,$             25,$             32,$              0,$              0,$              0
Nevada,2009.0,$              0,$            693,$            551,$             62,$             47,$             45,$              2,$            790,$            762,$             27,$             39,$              0,$              0,$              0
Nevada,2010.0,$              0,$            682,$            541,$             79,$             39,$             39,$              1,$            802,$            774,$             27,$             38,$              0,$              0,$              0
Nevada,2011.0,$              0,$            664,$            535,$             88,$             41,$             38,$              2,$            849,$            825,$             23,$             38,$              0,$              0,$              0
Nevada,2012.0,$              0,$            615,$            493,$             94,$             37,$             36,$              2,$            716,$            695,$             21,$             37,$              0,$              0,$              0
Nevada,2013.0,$              0,$            616,$            499,$             96,$             36,$             35,$              2,$            698,$            678,$             20,$             34,$              0,$              0,$              0
Nevada,2014.0,$              0,$            694,$            558,$            112,$             32,$             28,$              4,$            787,$            765,$             21,$             26,$              0,$              0,$              0
Nevada,2015.0,$              0,$            753,$            556,$            128,$             29,$             27,$              2,$           1148,$           1127,$             20,$             24,$              0,$              0,$              0
Nevada,2016.0,$              0,$            698,$            526,$            138,$             29,$             28,$              2,$           1191,$           1172,$             18,$             19,$              0,$              0,$              0
Nevada,2017.0,$              0,$            736,$            517,$            160,$             32,$             30,$              2,$           1262,$           1245,$             16,$             16,$              0,$              0,$              0
Nevada,2018.0,$              0,$            775,$            547,$            181,$             33,$             31,$              2,$           1314,$           1298,$             16,$             17,$              0,$              0,$              0
Nevada,2019.0,$              0,$            830,$            561,$            193,$             31,$             29,$              2,$           1389,$           1375,$             14,$             15,$              0,$              0,$              0
Nevada,2020.0,$              0,$            856,$            587,$            202,$             32,$             30,$              2,$           1370,$           1356,$             14,$             15,$              0,$              0,$              0
Arizona,1977.0,$              0,$            614,$            536,$             21,$             55,$             49,$              6,$            194,$            106,$             88,$             10,$              0,$              0,$              0
Arizona,1978.0,$              0,$            630,$            551,$             27,$             56,$             51,$              5,$            170,$            113,$             56,$              8,$              0,$              0,$              0
Arizona,1979.0,$              0,$            594,$            522,$             22,$             58,$             51,$              7,$            158,$            110,$             47,$              8,$              0,$              0,$              0
Arizona,1980.0,$              0,$            580,$            511,$             23,$             52,$             47,$              5,$            170,$            117,$             51,$              8,$              0,$              0,$              0
Arizona,1981.0,$              0,$            600,$            512,$             25,$             61,$             54,$              7,$            180,$            131,$             47,$              7,$              0,$              0,$              0
Arizona,1982.0,$              0,$            618,$            531,$             26,$             60,$             57,$              4,$            163,$            114,$             46,$              7,$              0,$              0,$              0
Arizona,1983.0,$              0,$            598,$            526,$             22,$             55,$             52,$              3,$            232,$            173,$             59,$              7,$              0,$              0,$              0
Arizona,1984.0,$              0,$            595,$            524,$             23,$             54,$             51,$              3,$            330,$            269,$             61,$              7,$              0,$              0,$              0
Arizona,1985.0,$              0,$            614,$            549,$             23,$             52,$             47,$              6,$            352,$            296,$             56,$              5,$              0,$              0,$              0
Arizona,1986.0,$              0,$            658,$            568,$             23,$             51,$             46,$              5,$            342,$            280,$             60,$              6,$              0,$              0,$              0
Arizona,1987.0,$              0,$            670,$            575,$             23,$             55,$             49,$              6,$            388,$            317,$             70,$              7,$              0,$              0,$              0
Arizona,1988.0,$              0,$            662,$            541,$             28,$             56,$             52,$              4,$            416,$            338,$             75,$              9,$              0,$              0,$              0
Arizona,1989.0,$              0,$            607,$            532,$             26,$             54,$             50,$              4,$            483,$            402,$             77,$             18,$              0,$              0,$              0
Arizona,1990.0,$              0,$            717,$            556,$             29,$             53,$             49,$              4,$            579,$            494,$             84,$             13,$              0,$              0,$              0
Arizona,1991.0,$              0,$            638,$            547,$             34,$             51,$             47,$              4,$            519,$            422,$             95,$             11,$              0,$              0,$              0
Arizona,1992.0,$              0,$            596,$            517,$             35,$             47,$             45,$              3,$            746,$            616,$            129,$             14,$              0,$              0,$              0
Arizona,1993.0,$              0,$            564,$            477,$             38,$             43,$             40,$              3,$            837,$            698,$            137,$             10,$              0,$              0,$              0
Arizona,1994.0,$              0,$            560,$            486,$             36,$             39,$             37,$              3,$            838,$            705,$            130,$             10,$              0,$              0,$              0
Arizona,1995.0,$              0,$            568,$            478,$             37,$             41,$             36,$              4,$            778,$            641,$            128,$              9,$              0,$              0,$              0
Arizona,1996.0,$              0,$            566,$            468,$             36,$             41,$             36,$              5,$            764,$            639,$            116,$              9,$              0,$              0,$              0
Arizona,1997.0,$              0,$            575,$            487,$             38,$             42,$             35,$              7,$            735,$            647,$             83,$             10,$              0,$              0,$              0
Arizona,1998.0,$              0,$            564,$            476,$             40,$             40,$             36,$              4,$            685,$            600,$             81,$              9,$              0,$              0,$              0
Arizona,1999.0,$              0,$            567,$            483,$             41,$             43,$             38,$              5,$            436,$            363,$             67,$              8,$              0,$              0,$              0
Arizona,2000.0,$              0,$            590,$            487,$             42,$             42,$             38,$              4,$            722,$            594,$            123,$              8,$              0,$              0,$              0
Arizona,2001.0,$              0,$            607,$            499,$             43,$             41,$             37,$              4,$            733,$            595,$            130,$              7,$              0,$              0,$              0
Arizona,2002.0,$              0,$            590,$            499,$             44,$             40,$             36,$              4,$            891,$            842,$             44,$              7,$              0,$              0,$              0
Arizona,2003.0,$              0,$            615,$            505,$             44,$             42,$             39,$              3,$            959,$            915,$             41,$              7,$              0,$              0,$              0
Arizona,2004.0,$              0,$            651,$            513,$             53,$             44,$             40,$              4,$           1047,$            990,$             53,$              7,$              0,$              0,$              0
Arizona,2005.0,$              0,$            686,$            519,$             58,$             45,$             39,$              5,$           1210,$           1160,$             44,$              7,$              0,$              0,$              0
Arizona,2006.0,$              0,$            653,$            522,$             61,$             45,$             40,$              5,$           1234,$           1192,$             37,$              6,$              0,$              0,$              0
Arizona,2007.0,$              0,$            670,$            535,$             64,$             49,$             42,$              7,$           1274,$           1235,$             33,$              6,$              0,$              0,$              0
Arizona,2008.0,$              0,$            702,$            554,$             67,$             49,$             43,$              7,$           1332,$           1298,$             30,$              6,$              0,$              0,$              0
Arizona,2009.0,$              0,$            690,$            555,$             77,$             49,$             43,$              6,$           1468,$           1434,$             32,$              6,$              0,$              0,$              0
Arizona,2010.0,$              0,$            693,$            542,$             88,$             42,$             40,$              2,$           1520,$           1496,$             21,$              6,$              0,$              0,$              0
Arizona,2011.0,$              0,$            726,$            550,$             93,$             41,$             37,$              4,$           1587,$           1560,$             19,$              6,$              0,$              0,$              0
Arizona,2012.0,$              0,$            743,$            563,$             99,$             40,$             36,$              4,$           1374,$           1353,$             16,$              5,$              0,$              0,$              0
Arizona,2013.0,$              0,$            927,$            575,$            268,$             37,$             34,$              3,$           1391,$           1372,$             14,$              6,$              0,$              0,$              0
Arizona,2014.0,$              0,$            955,$            593,$            291,$             39,$             34,$              5,$           1449,$           1431,$             14,$              5,$              0,$              0,$              0
Arizona,2015.0,$              0,$            789,$            600,$             97,$             37,$             35,$              2,$           1627,$           1576,$             48,$              5,$              0,$              0,$              0
Arizona,2016.0,$              0,$            861,$            672,$            104,$             35,$             34,$              1,$           2033,$           1981,$             50,$              5,$              0,$              0,$              0
Arizona,2017.0,$              0,$           1097,$            666,$            344,$             39,$             36,$              3,$           2193,$           2152,$             40,$              4,$              0,$              0,$              0
Arizona,2018.0,$              0,$           1126,$            680,$            355,$             38,$             35,$              2,$           2220,$           2185,$             33,$              5,$              0,$              0,$              0
Arizona,2019.0,$              0,$           1142,$            680,$            383,$             38,$             35,$              2,$           2256,$           2221,$             33,$              3,$              0,$              0,$              0
Arizona,2020.0,$              0,$           1206,$            711,$            418,$             40,$             36,$              3,$           2387,$           2342,$             41,$              4,$              0,$              0,$              0
New Hampshire,1977.0,$            535,$            550,$            421,$             22,$             27,$             25,$              2,$            397,$            266,$            125,$            423,$            422,$            421,$              1
New Hampshire,1978.0,$            525,$            472,$            445,$             14,$             30,$             26,$              4,$            384,$            274,$            109,$            413,$            412,$            411,$              2
New Hampshire,1979.0,$            511,$            454,$            428,$             15,$             32,$             30,$              2,$            402,$            306,$             95,$            403,$            403,$            398,$              5
New Hampshire,1980.0,$            452,$            456,$            407,$             12,$             31,$             27,$              3,$            450,$            352,$             98,$            360,$            360,$            357,$              3
New Hampshire,1981.0,$            432,$            422,$            390,$             12,$             31,$             27,$              4,$            450,$            349,$            101,$            345,$            345,$            343,$              2
New Hampshire,1982.0,$            425,$            417,$            387,$             14,$             31,$             27,$              4,$            435,$            348,$             86,$            344,$            344,$            340,$              4
New Hampshire,1983.0,$            413,$            421,$            391,$             17,$             34,$             27,$              6,$            447,$            361,$             85,$            331,$            330,$            330,$              1
New Hampshire,1984.0,$            400,$            412,$            387,$             16,$             36,$             32,$              3,$            378,$            300,$             78,$            323,$            323,$            323,$              0
New Hampshire,1985.0,$            372,$            328,$            292,$             16,$             29,$             25,$              4,$            381,$            312,$             69,$            301,$            301,$            301,$              0
New Hampshire,1986.0,$            378,$            445,$            414,$             20,$             31,$             28,$              3,$            414,$            349,$             63,$            306,$            306,$            304,$              1
New Hampshire,1987.0,$            363,$            468,$            367,$             24,$             35,$             30,$              5,$            464,$            410,$             53,$            287,$            287,$            286,$              1
New Hampshire,1988.0,$            347,$            473,$            438,$             26,$             40,$             34,$              6,$            447,$            392,$             53,$            276,$            276,$            275,$              1
New Hampshire,1989.0,$            338,$            508,$            449,$             31,$             38,$             34,$              4,$            495,$            435,$             56,$            272,$            272,$            271,$              1
New Hampshire,1990.0,$            335,$            511,$            471,$             23,$             41,$             36,$              5,$            514,$            442,$             65,$            276,$            276,$            273,$              3
New Hampshire,1991.0,$            335,$            470,$            452,$              3,$             39,$             34,$              5,$            599,$            511,$             85,$            269,$            269,$            264,$              5
New Hampshire,1992.0,$            340,$            525,$            472,$             34,$             39,$             35,$              4,$           1457,$           1353,$            103,$            266,$            266,$            266,$              0
New Hampshire,1993.0,$            333,$            579,$            496,$             43,$             41,$             35,$              6,$           1369,$           1265,$            104,$            263,$            263,$            261,$              2
New Hampshire,1994.0,$            323,$            580,$            499,$             45,$             38,$             35,$              3,$           1564,$           1453,$            110,$            255,$            254,$            254,$              1
New Hampshire,1995.0,$            310,$            581,$            494,$             47,$             38,$             36,$              2,$           1284,$           1178,$            105,$            246,$            246,$            245,$              1
New Hampshire,1996.0,$            313,$            579,$            495,$             48,$             37,$             34,$              3,$           1278,$           1187,$             88,$            255,$            255,$            248,$              7
New Hampshire,1997.0,$            325,$            594,$            507,$             51,$             40,$             35,$              5,$           1118,$           1039,$             75,$            283,$            283,$            282,$              1
New Hampshire,1998.0,$            335,$            620,$            515,$             52,$             42,$             35,$              7,$           1102,$           1033,$             62,$            290,$            289,$            288,$              1
New Hampshire,1999.0,$            339,$            606,$            515,$             51,$             44,$             36,$              8,$           1090,$           1017,$             56,$            322,$            321,$            319,$              2
New Hampshire,2000.0,$            353,$            645,$            539,$             53,$             47,$             38,$              9,$           1184,$           1125,$             53,$            302,$            302,$            300,$              2
New Hampshire,2001.0,$            357,$            649,$            542,$             53,$             47,$             38,$              9,$           1123,$           1070,$             50,$            306,$            306,$            304,$              2
New Hampshire,2002.0,$            370,$            714,$            560,$             60,$             42,$             34,$              8,$            996,$            943,$             52,$            316,$            316,$            315,$              0
New Hampshire,2003.0,$            381,$            750,$            593,$             59,$             45,$             34,$             10,$           1194,$           1126,$             54,$            328,$            328,$            327,$              1
New Hampshire,2004.0,$            395,$            737,$            614,$             60,$             39,$             32,$              6,$           1430,$           1374,$             52,$            347,$            337,$            336,$              1
New Hampshire,2005.0,$            404,$            776,$            615,$             61,$             39,$             36,$              3,$           1473,$           1419,$             53,$            359,$            344,$            342,$              2
New Hampshire,2006.0,$            410,$            834,$            620,$             61,$             43,$             39,$              4,$           1260,$           1206,$             52,$            359,$            348,$            347,$              0
New Hampshire,2007.0,$            417,$            823,$            645,$             69,$             46,$             41,$              5,$           1276,$           1226,$             49,$            369,$            356,$            355,$              1
New Hampshire,2008.0,$            423,$            846,$            694,$             74,$             46,$             43,$              3,$           1311,$           1263,$             45,$            371,$            361,$            361,$              1
New Hampshire,2009.0,$            450,$            874,$            685,$             79,$             50,$             48,$              3,$           1572,$           1518,$             52,$            390,$            385,$            384,$              1
New Hampshire,2010.0,$            464,$            860,$            691,$             84,$             53,$             48,$              5,$           1665,$           1603,$             59,$            394,$            389,$            388,$              1
New Hampshire,2011.0,$            470,$            874,$            726,$             88,$             49,$             47,$              2,$           1640,$           1583,$             55,$            403,$            396,$            393,$              3
New Hampshire,2012.0,$            474,$            937,$            767,$             90,$             47,$             43,$              4,$           1090,$            986,$             96,$            373,$            367,$            367,$              0
New Hampshire,2013.0,$            491,$            867,$            691,$             98,$             45,$             43,$              2,$           1055,$            969,$             71,$            391,$            386,$            386,$              0
New Hampshire,2014.0,$            499,$            855,$            688,$            108,$             46,$             44,$              3,$           1076,$            994,$             72,$            399,$            392,$            392,$              0
New Hampshire,2015.0,$            513,$            895,$            700,$            116,$             50,$             45,$              6,$           1344,$           1271,$             62,$            409,$            402,$            402,$              0
New Hampshire,2016.0,$            536,$            963,$            720,$            126,$             50,$             44,$              6,$           1616,$           1572,$             38,$            428,$            422,$            422,$              0
New Hampshire,2017.0,$            533,$            923,$            693,$            135,$             55,$             45,$             10,$           1687,$           1638,$             37,$            436,$            424,$            424,$              0
New Hampshire,2018.0,$            523,$            870,$            686,$            144,$             50,$             45,$              5,$           1633,$           1584,$             36,$            425,$            415,$            415,$              0
New Hampshire,2019.0,$            522,$            841,$            652,$            151,$             52,$             46,$              7,$           1626,$           1561,$             38,$            420,$            413,$            413,$              0
New Hampshire,2020.0,$            537,$            857,$            634,$            160,$             53,$             48,$              5,$           1669,$           1620,$             39,$            437,$            433,$            433,$              0
New Jersey,1977.0,$              0,$            433,$            382,$             30,$             34,$             33,$              1,$            377,$            377,$              0,$              0,$              0,$              0,$              0
New Jersey,1978.0,$              0,$            385,$            317,$             41,$             37,$             35,$              1,$            392,$            391,$              0,$              0,$              0,$              0,$              0
New Jersey,1979.0,$              0,$            387,$            319,$             49,$             31,$             30,$              1,$            372,$            370,$              0,$              0,$              0,$              0,$              0
New Jersey,1980.0,$              0,$            371,$            304,$             46,$             33,$             31,$              2,$            368,$            368,$              0,$              0,$              0,$              0,$              0
New Jersey,1981.0,$              0,$            383,$            317,$             44,$             31,$             29,$              2,$            389,$            389,$              0,$            126,$              0,$              0,$              0
New Jersey,1982.0,$              0,$            336,$            262,$             42,$             32,$             31,$              1,$            403,$            403,$              0,$            154,$              0,$              0,$              0
New Jersey,1983.0,$              0,$            338,$            288,$             38,$             34,$             33,$              1,$            392,$            392,$              0,$            178,$              0,$              0,$              0
New Jersey,1984.0,$              0,$            332,$            281,$             31,$             38,$             37,$              1,$            430,$            426,$              0,$            191,$              0,$              0,$              0
New Jersey,1985.0,$              0,$            357,$            304,$             34,$             42,$             40,$              2,$            453,$            453,$              0,$            198,$              0,$              0,$              0
New Jersey,1986.0,$              0,$            394,$            328,$             38,$             49,$             44,$              4,$            511,$            510,$              0,$            238,$              0,$              0,$              0
New Jersey,1987.0,$              0,$            456,$            373,$             46,$             49,$             46,$              3,$            551,$            545,$              0,$            261,$              0,$              0,$              0
New Jersey,1988.0,$              0,$            450,$            345,$             51,$             54,$             49,$              4,$            592,$            591,$              0,$            229,$              0,$              0,$              0
New Jersey,1989.0,$              0,$            477,$            362,$             43,$             57,$             52,$              5,$            659,$            657,$              0,$            220,$              0,$              0,$              0
New Jersey,1990.0,$              0,$            525,$            413,$             40,$             57,$             51,$              5,$            681,$            680,$              0,$            233,$              0,$              0,$              0
New Jersey,1991.0,$              0,$            522,$            418,$             45,$             51,$             48,$              3,$            804,$            803,$              0,$            224,$              0,$              0,$              0
New Jersey,1992.0,$              0,$            578,$            476,$             49,$             48,$             46,$              2,$           1119,$           1118,$              0,$            237,$              0,$              0,$              0
New Jersey,1993.0,$              0,$            583,$            480,$             53,$             48,$             47,$              2,$            982,$            981,$              0,$            221,$              0,$              0,$              0
New Jersey,1994.0,$              0,$            603,$            490,$             54,$             47,$             45,$              2,$            999,$            999,$              0,$            243,$              0,$              0,$              0
New Jersey,1995.0,$              0,$            610,$            480,$             72,$             53,$             50,$              2,$           1223,$           1221,$              0,$            294,$              0,$              0,$              0
New Jersey,1996.0,$              0,$            604,$            472,$             82,$             48,$             46,$              2,$           1184,$           1182,$              0,$            288,$              0,$              0,$              0
New Jersey,1997.0,$              0,$            643,$            537,$             55,$             46,$             45,$              1,$            791,$            788,$              0,$            306,$              0,$              0,$              0
New Jersey,1998.0,$              0,$            693,$            575,$             60,$             47,$             45,$              2,$            850,$            844,$              0,$            271,$              0,$              0,$              0
New Jersey,1999.0,$              0,$            712,$            584,$             56,$             55,$             53,$              2,$            836,$            835,$              0,$            308,$              0,$              0,$              0
New Jersey,2000.0,$              0,$            798,$            666,$             60,$             72,$             70,$              1,$            838,$            837,$              0,$            336,$              0,$              0,$              0
New Jersey,2001.0,$              0,$            832,$            693,$             60,$             69,$             66,$              3,$            825,$            823,$              0,$            325,$              0,$              0,$              0
New Jersey,2002.0,$              0,$            767,$            613,$             65,$             58,$             57,$              1,$            953,$            952,$              0,$            380,$              0,$              0,$              0
New Jersey,2003.0,$              0,$            941,$            745,$             66,$             64,$             63,$              1,$            992,$            991,$              0,$            387,$              0,$              0,$              0
New Jersey,2004.0,$              0,$            968,$            776,$             72,$             63,$             57,$              6,$           1445,$           1440,$              0,$            359,$              0,$              0,$              0
New Jersey,2005.0,$              0,$           1017,$            825,$             75,$             72,$             62,$             10,$           1575,$           1565,$              0,$            353,$              0,$              0,$              0
New Jersey,2006.0,$              0,$           1258,$            848,$             76,$             75,$             67,$              7,$           1700,$           1648,$             45,$            346,$              0,$              0,$              0
New Jersey,2007.0,$              0,$           1174,$            863,$             81,$             71,$             66,$              5,$           1583,$           1523,$             55,$            296,$              0,$              0,$              0
New Jersey,2008.0,$              0,$           1164,$            891,$             79,$             64,$             61,$              2,$           1593,$           1535,$             52,$            379,$              0,$              0,$              0
New Jersey,2009.0,$              0,$           1244,$            921,$            100,$             62,$             60,$              2,$           1688,$           1622,$             63,$            387,$              0,$              0,$              0
New Jersey,2010.0,$              0,$           1129,$            888,$            102,$             59,$             58,$              1,$           1731,$           1663,$             65,$            370,$              0,$              0,$              0
New Jersey,2011.0,$              0,$           1047,$            845,$             94,$             65,$             62,$              3,$           1714,$           1655,$             58,$            282,$              0,$              0,$              0
New Jersey,2012.0,$              0,$           1103,$            896,$            103,$             78,$             76,$              3,$           1643,$           1592,$             48,$            292,$              0,$              0,$              0
New Jersey,2013.0,$              0,$           1101,$            914,$            104,$             75,$             73,$              2,$           1562,$           1510,$             50,$            343,$              0,$              0,$              0
New Jersey,2014.0,$              0,$           1174,$            959,$            111,$             74,$             72,$              2,$           1585,$           1536,$             47,$            342,$              0,$              0,$              0
New Jersey,2015.0,$              0,$           1202,$            926,$            123,$             70,$             69,$              1,$           1835,$           1786,$             47,$            326,$              0,$              0,$              0
New Jersey,2016.0,$              0,$           1276,$            955,$            131,$             70,$             69,$              1,$           1864,$           1817,$             45,$            346,$              0,$              0,$              0
New Jersey,2017.0,$              0,$           1238,$            955,$            107,$             67,$             66,$              1,$           1987,$           1947,$             38,$            340,$              0,$              0,$              0
New Jersey,2018.0,$              0,$           1258,$            996,$            133,$             67,$             66,$              1,$           1984,$           1947,$             37,$            321,$              0,$              0,$              0
New Jersey,2019.0,$              0,$           1413,$           1080,$            226,$             68,$             66,$              1,$           1981,$           1944,$             35,$            338,$              0,$              0,$              0
New Jersey,2020.0,$              0,$           1263,$            994,$            179,$             86,$             83,$              3,$           2032,$           1996,$             34,$            369,$              0,$              0,$              0
New Mexico,1977.0,$              0,$            754,$            661,$             19,$             44,$             41,$              3,$            372,$            260,$            111,$              0,$              0,$              0,$              0
New Mexico,1978.0,$              0,$            818,$            688,$             20,$             39,$             38,$              1,$            349,$            244,$            104,$              0,$              0,$              0,$              0
New Mexico,1979.0,$              0,$            829,$            699,$             22,$             40,$             36,$              4,$            391,$            294,$             96,$              0,$              0,$              0,$              0
New Mexico,1980.0,$              0,$            740,$            624,$             21,$             38,$             36,$              3,$            388,$            291,$             94,$              0,$              0,$              0,$              0
New Mexico,1981.0,$              0,$            839,$            709,$             19,$             42,$             38,$              4,$            410,$            308,$            101,$              0,$              0,$              0,$              0
New Mexico,1982.0,$              0,$            767,$            650,$             32,$             45,$             42,$              3,$            423,$            328,$             94,$              0,$              0,$              0,$              0
New Mexico,1983.0,$              0,$            770,$            694,$             20,$             52,$             44,$              7,$            406,$            321,$             84,$              0,$              0,$              0,$              0
New Mexico,1984.0,$              0,$            797,$            685,$             16,$             40,$             38,$              3,$            408,$            322,$             86,$              0,$              0,$              0,$              0
New Mexico,1985.0,$              0,$            830,$            712,$             17,$             46,$             39,$              7,$            422,$            326,$             89,$              0,$              0,$              0,$              0
New Mexico,1986.0,$              0,$            980,$            839,$             17,$             43,$             40,$              2,$            456,$            371,$             85,$              0,$              0,$              0,$              0
New Mexico,1987.0,$              0,$            731,$            636,$             19,$             39,$             38,$              2,$            488,$            400,$             87,$              0,$              0,$              0,$              0
New Mexico,1988.0,$              0,$            740,$            666,$             23,$             43,$             41,$              2,$            516,$            419,$             97,$              0,$              0,$              0,$              0
New Mexico,1989.0,$              0,$            856,$            770,$             34,$             52,$             49,$              3,$            528,$            439,$             89,$              0,$              0,$              0,$              0
New Mexico,1990.0,$              0,$            863,$            776,$             26,$             48,$             45,$              2,$            567,$            487,$             79,$              0,$              0,$              0,$              0
New Mexico,1991.0,$              0,$            843,$            745,$             29,$             53,$             50,$              3,$            657,$            551,$            104,$              0,$              0,$              0,$              0
New Mexico,1992.0,$              0,$            883,$            782,$             30,$             55,$             51,$              4,$            822,$            695,$            127,$              0,$              0,$              0,$              0
New Mexico,1993.0,$              0,$            860,$            767,$             31,$             51,$             48,$              3,$            829,$            693,$            135,$              0,$              0,$              0,$              0
New Mexico,1994.0,$              0,$            883,$            777,$             45,$             53,$             49,$              3,$            943,$            786,$            157,$              0,$              0,$              0,$              0
New Mexico,1995.0,$              0,$            949,$            830,$             42,$             48,$             47,$              1,$            867,$            697,$            170,$              0,$              0,$              0,$              0
New Mexico,1996.0,$              0,$            923,$            801,$             40,$             53,$             48,$              5,$           1053,$            898,$            154,$              0,$              0,$              0,$              0
New Mexico,1997.0,$              0,$            933,$            802,$             39,$             52,$             48,$              4,$           1138,$            998,$            140,$              0,$              0,$              0,$              0
New Mexico,1998.0,$              0,$            938,$            806,$             46,$             48,$             46,$              2,$           1130,$            993,$            137,$              0,$              0,$              0,$              0
New Mexico,1999.0,$              0,$            947,$            840,$             54,$             60,$             56,$              4,$           1150,$           1036,$            113,$              0,$              0,$              0,$              0
New Mexico,2000.0,$              0,$           1134,$            842,$             60,$             64,$             61,$              3,$           1207,$           1088,$            119,$              0,$              0,$              0,$              0
